valid_time,t2m,latitude,longitude
2020-01-01 00:00:00,275.1397,42.75,-73.75
2020-01-01 01:00:00,274.9961,42.75,-73.75
2020-01-01 02:00:00,274.57135,42.75,-73.75
2020-01-01 03:00:00,274.55225,42.75,-73.75
2020-01-01 04:00:00,274.1944,42.75,-73.75
2020-01-01 05:00:00,273.77148,42.75,-73.75
2020-01-01 06:00:00,272.43494,42.75,-73.75
2020-01-01 07:00:00,272.8673,42.75,-73.75
2020-01-01 08:00:00,272.3009,42.75,-73.75
2020-01-01 09:00:00,272.40283,42.75,-73.75
2020-01-01 10:00:00,273.31317,42.75,-73.75
2020-01-01 11:00:00,273.24347,42.75,-73.75
2020-01-01 12:00:00,273.14798,42.75,-73.75
2020-01-01 13:00:00,273.43518,42.75,-73.75
2020-01-01 14:00:00,274.04004,42.75,-73.75
2020-01-01 15:00:00,275.14893,42.75,-73.75
2020-01-01 16:00:00,275.8836,42.75,-73.75
2020-01-01 17:00:00,275.52374,42.75,-73.75
2020-01-01 18:00:00,275.81116,42.75,-73.75
2020-01-01 19:00:00,275.43762,42.75,-73.75
2020-01-01 20:00:00,275.17145,42.75,-73.75
2020-01-01 21:00:00,274.6407,42.75,-73.75
2020-01-01 22:00:00,274.1764,42.75,-73.75
2020-01-01 23:00:00,273.61362,42.75,-73.75
2020-01-02 00:00:00,273.24594,42.75,-73.75
2020-01-02 01:00:00,273.46985,42.75,-73.75
2020-01-02 02:00:00,273.59375,42.75,-73.75
2020-01-02 03:00:00,273.69202,42.75,-73.75
2020-01-02 04:00:00,273.91974,42.75,-73.75
2020-01-02 05:00:00,273.3955,42.75,-73.75
2020-01-02 06:00:00,272.17563,42.75,-73.75
2020-01-02 07:00:00,271.89624,42.75,-73.75
2020-01-02 08:00:00,271.26685,42.75,-73.75
2020-01-02 09:00:00,271.4737,42.75,-73.75
2020-01-02 10:00:00,272.3617,42.75,-73.75
2020-01-02 11:00:00,272.66302,42.75,-73.75
2020-01-02 12:00:00,272.7541,42.75,-73.75
2020-01-02 13:00:00,272.32422,42.75,-73.75
2020-01-02 14:00:00,273.7176,42.75,-73.75
2020-01-02 15:00:00,275.29144,42.75,-73.75
2020-01-02 16:00:00,276.64462,42.75,-73.75
2020-01-02 17:00:00,278.39438,42.75,-73.75
2020-01-02 18:00:00,279.68848,42.75,-73.75
2020-01-02 19:00:00,280.4505,42.75,-73.75
2020-01-02 20:00:00,280.6205,42.75,-73.75
2020-01-02 21:00:00,279.70074,42.75,-73.75
2020-01-02 22:00:00,278.49838,42.75,-73.75
2020-01-02 23:00:00,278.2221,42.75,-73.75
2020-01-03 00:00:00,277.70117,42.75,-73.75
2020-01-03 01:00:00,277.68896,42.75,-73.75
2020-01-03 02:00:00,277.1565,42.75,-73.75
2020-01-03 03:00:00,277.02933,42.75,-73.75
2020-01-03 04:00:00,276.68097,42.75,-73.75
2020-01-03 05:00:00,276.43292,42.75,-73.75
2020-01-03 06:00:00,276.28888,42.75,-73.75
2020-01-03 07:00:00,276.51447,42.75,-73.75
2020-01-03 08:00:00,276.54208,42.75,-73.75
2020-01-03 09:00:00,276.50366,42.75,-73.75
2020-01-03 10:00:00,275.4649,42.75,-73.75
2020-01-03 11:00:00,275.7906,42.75,-73.75
2020-01-03 12:00:00,275.43777,42.75,-73.75
2020-01-03 13:00:00,276.03473,42.75,-73.75
2020-01-03 14:00:00,277.11496,42.75,-73.75
2020-01-03 15:00:00,278.3736,42.75,-73.75
2020-01-03 16:00:00,278.73047,42.75,-73.75
2020-01-03 17:00:00,279.17688,42.75,-73.75
2020-01-03 18:00:00,279.7663,42.75,-73.75
2020-01-03 19:00:00,279.19006,42.75,-73.75
2020-01-03 20:00:00,279.44058,42.75,-73.75
2020-01-03 21:00:00,279.12183,42.75,-73.75
2020-01-03 22:00:00,278.75403,42.75,-73.75
2020-01-03 23:00:00,278.36206,42.75,-73.75
2020-01-04 00:00:00,277.98157,42.75,-73.75
2020-01-04 01:00:00,277.93762,42.75,-73.75
2020-01-04 02:00:00,277.38037,42.75,-73.75
2020-01-04 03:00:00,277.19675,42.75,-73.75
2020-01-04 04:00:00,277.2588,42.75,-73.75
2020-01-04 05:00:00,277.3231,42.75,-73.75
2020-01-04 06:00:00,277.44205,42.75,-73.75
2020-01-04 07:00:00,277.73358,42.75,-73.75
2020-01-04 08:00:00,277.52634,42.75,-73.75
2020-01-04 09:00:00,277.19348,42.75,-73.75
2020-01-04 10:00:00,276.53143,42.75,-73.75
2020-01-04 11:00:00,276.3557,42.75,-73.75
2020-01-04 12:00:00,276.25586,42.75,-73.75
2020-01-04 13:00:00,276.43878,42.75,-73.75
2020-01-04 14:00:00,276.48273,42.75,-73.75
2020-01-04 15:00:00,276.62494,42.75,-73.75
2020-01-04 16:00:00,277.0719,42.75,-73.75
2020-01-04 17:00:00,277.02795,42.75,-73.75
2020-01-04 18:00:00,277.42383,42.75,-73.75
2020-01-04 19:00:00,277.5498,42.75,-73.75
2020-01-04 20:00:00,277.28363,42.75,-73.75
2020-01-04 21:00:00,276.94788,42.75,-73.75
2020-01-04 22:00:00,276.43732,42.75,-73.75
2020-01-04 23:00:00,276.28226,42.75,-73.75
2020-01-05 00:00:00,276.29254,42.75,-73.75
2020-01-05 01:00:00,275.90674,42.75,-73.75
2020-01-05 02:00:00,275.45273,42.75,-73.75
2020-01-05 03:00:00,275.08994,42.75,-73.75
2020-01-05 04:00:00,274.95294,42.75,-73.75
2020-01-05 05:00:00,274.70807,42.75,-73.75
2020-01-05 06:00:00,274.4618,42.75,-73.75
2020-01-05 07:00:00,274.44928,42.75,-73.75
2020-01-05 08:00:00,273.84845,42.75,-73.75
2020-01-05 09:00:00,273.59262,42.75,-73.75
2020-01-05 10:00:00,273.37354,42.75,-73.75
2020-01-05 11:00:00,273.52313,42.75,-73.75
2020-01-05 12:00:00,273.48053,42.75,-73.75
2020-01-05 13:00:00,273.60718,42.75,-73.75
2020-01-05 14:00:00,273.78113,42.75,-73.75
2020-01-05 15:00:00,273.6953,42.75,-73.75
2020-01-05 16:00:00,274.04767,42.75,-73.75
2020-01-05 17:00:00,274.26062,42.75,-73.75
2020-01-05 18:00:00,274.43176,42.75,-73.75
2020-01-05 19:00:00,274.3757,42.75,-73.75
2020-01-05 20:00:00,274.0054,42.75,-73.75
2020-01-05 21:00:00,273.67407,42.75,-73.75
2020-01-05 22:00:00,273.01657,42.75,-73.75
2020-01-05 23:00:00,272.57245,42.75,-73.75
2020-01-06 00:00:00,272.6623,42.75,-73.75
2020-01-06 01:00:00,272.49146,42.75,-73.75
2020-01-06 02:00:00,271.43665,42.75,-73.75
2020-01-06 03:00:00,270.76282,42.75,-73.75
2020-01-06 04:00:00,270.18237,42.75,-73.75
2020-01-06 05:00:00,271.229,42.75,-73.75
2020-01-06 06:00:00,270.78198,42.75,-73.75
2020-01-06 07:00:00,271.0479,42.75,-73.75
2020-01-06 08:00:00,271.19995,42.75,-73.75
2020-01-06 09:00:00,271.49158,42.75,-73.75
2020-01-06 10:00:00,271.881,42.75,-73.75
2020-01-06 11:00:00,271.61932,42.75,-73.75
2020-01-06 12:00:00,271.50055,42.75,-73.75
2020-01-06 13:00:00,271.8283,42.75,-73.75
2020-01-06 14:00:00,272.20874,42.75,-73.75
2020-01-06 15:00:00,273.01892,42.75,-73.75
2020-01-06 16:00:00,273.73593,42.75,-73.75
2020-01-06 17:00:00,275.34363,42.75,-73.75
2020-01-06 18:00:00,276.08884,42.75,-73.75
2020-01-06 19:00:00,275.5596,42.75,-73.75
2020-01-06 20:00:00,275.40134,42.75,-73.75
2020-01-06 21:00:00,275.58405,42.75,-73.75
2020-01-06 22:00:00,275.06262,42.75,-73.75
2020-01-06 23:00:00,274.13785,42.75,-73.75
2020-01-07 00:00:00,271.78302,42.75,-73.75
2020-01-07 01:00:00,271.72647,42.75,-73.75
2020-01-07 02:00:00,271.90918,42.75,-73.75
2020-01-07 03:00:00,272.34555,42.75,-73.75
2020-01-07 04:00:00,272.3894,42.75,-73.75
2020-01-07 05:00:00,272.2782,42.75,-73.75
2020-01-07 06:00:00,272.64276,42.75,-73.75
2020-01-07 07:00:00,272.8627,42.75,-73.75
2020-01-07 08:00:00,273.05737,42.75,-73.75
2020-01-07 09:00:00,273.53122,42.75,-73.75
2020-01-07 10:00:00,272.20065,42.75,-73.75
2020-01-07 11:00:00,271.9817,42.75,-73.75
2020-01-07 12:00:00,271.20828,42.75,-73.75
2020-01-07 13:00:00,271.42578,42.75,-73.75
2020-01-07 14:00:00,273.02832,42.75,-73.75
2020-01-07 15:00:00,274.67114,42.75,-73.75
2020-01-07 16:00:00,275.47357,42.75,-73.75
2020-01-07 17:00:00,276.30035,42.75,-73.75
2020-01-07 18:00:00,276.14194,42.75,-73.75
2020-01-07 19:00:00,276.30768,42.75,-73.75
2020-01-07 20:00:00,275.96033,42.75,-73.75
2020-01-07 21:00:00,275.35294,42.75,-73.75
2020-01-07 22:00:00,274.25818,42.75,-73.75
2020-01-07 23:00:00,273.8224,42.75,-73.75
2020-01-08 00:00:00,273.34634,42.75,-73.75
2020-01-08 01:00:00,273.83237,42.75,-73.75
2020-01-08 02:00:00,273.4491,42.75,-73.75
2020-01-08 03:00:00,272.6399,42.75,-73.75
2020-01-08 04:00:00,272.6784,42.75,-73.75
2020-01-08 05:00:00,272.88812,42.75,-73.75
2020-01-08 06:00:00,272.60803,42.75,-73.75
2020-01-08 07:00:00,272.46408,42.75,-73.75
2020-01-08 08:00:00,272.16785,42.75,-73.75
2020-01-08 09:00:00,272.0699,42.75,-73.75
2020-01-08 10:00:00,271.7135,42.75,-73.75
2020-01-08 11:00:00,271.6079,42.75,-73.75
2020-01-08 12:00:00,271.4179,42.75,-73.75
2020-01-08 13:00:00,271.66956,42.75,-73.75
2020-01-08 14:00:00,272.7925,42.75,-73.75
2020-01-08 15:00:00,274.1618,42.75,-73.75
