valid_time,t2m,latitude,longitude
2020-01-01 00:00:00,271.40924,41.75,-87.75
2020-01-01 01:00:00,271.5918,41.75,-87.75
2020-01-01 02:00:00,271.33893,41.75,-87.75
2020-01-01 03:00:00,270.75537,41.75,-87.75
2020-01-01 04:00:00,270.65338,41.75,-87.75
2020-01-01 05:00:00,270.64258,41.75,-87.75
2020-01-01 06:00:00,270.349,41.75,-87.75
2020-01-01 07:00:00,270.05286,41.75,-87.75
2020-01-01 08:00:00,269.74036,41.75,-87.75
2020-01-01 09:00:00,269.35205,41.75,-87.75
2020-01-01 10:00:00,268.42255,41.75,-87.75
2020-01-01 11:00:00,268.4837,41.75,-87.75
2020-01-01 12:00:00,268.51517,41.75,-87.75
2020-01-01 13:00:00,268.44885,41.75,-87.75
2020-01-01 14:00:00,268.6455,41.75,-87.75
2020-01-01 15:00:00,270.85986,41.75,-87.75
2020-01-01 16:00:00,272.28204,41.75,-87.75
2020-01-01 17:00:00,273.82062,41.75,-87.75
2020-01-01 18:00:00,275.62952,41.75,-87.75
2020-01-01 19:00:00,276.7052,41.75,-87.75
2020-01-01 20:00:00,277.5855,41.75,-87.75
2020-01-01 21:00:00,278.4981,41.75,-87.75
2020-01-01 22:00:00,277.96936,41.75,-87.75
2020-01-01 23:00:00,277.6566,41.75,-87.75
2020-01-02 00:00:00,277.72055,41.75,-87.75
2020-01-02 01:00:00,277.75696,41.75,-87.75
2020-01-02 02:00:00,277.91602,41.75,-87.75
2020-01-02 03:00:00,278.23108,41.75,-87.75
2020-01-02 04:00:00,278.2303,41.75,-87.75
2020-01-02 05:00:00,278.11426,41.75,-87.75
2020-01-02 06:00:00,278.05844,41.75,-87.75
2020-01-02 07:00:00,277.7185,41.75,-87.75
2020-01-02 08:00:00,277.6399,41.75,-87.75
2020-01-02 09:00:00,277.22174,41.75,-87.75
2020-01-02 10:00:00,277.06677,41.75,-87.75
2020-01-02 11:00:00,276.92865,41.75,-87.75
2020-01-02 12:00:00,276.94354,41.75,-87.75
2020-01-02 13:00:00,277.08203,41.75,-87.75
2020-01-02 14:00:00,276.9715,41.75,-87.75
2020-01-02 15:00:00,278.06293,41.75,-87.75
2020-01-02 16:00:00,278.91806,41.75,-87.75
2020-01-02 17:00:00,280.17563,41.75,-87.75
2020-01-02 18:00:00,280.84082,41.75,-87.75
2020-01-02 19:00:00,281.2884,41.75,-87.75
2020-01-02 20:00:00,281.61856,41.75,-87.75
2020-01-02 21:00:00,281.72418,41.75,-87.75
2020-01-02 22:00:00,280.90073,41.75,-87.75
2020-01-02 23:00:00,280.77094,41.75,-87.75
2020-01-03 00:00:00,280.0703,41.75,-87.75
2020-01-03 01:00:00,279.56592,41.75,-87.75
2020-01-03 02:00:00,279.48462,41.75,-87.75
2020-01-03 03:00:00,278.9512,41.75,-87.75
2020-01-03 04:00:00,278.67316,41.75,-87.75
2020-01-03 05:00:00,278.24152,41.75,-87.75
2020-01-03 06:00:00,277.71466,41.75,-87.75
2020-01-03 07:00:00,277.409,41.75,-87.75
2020-01-03 08:00:00,276.90536,41.75,-87.75
2020-01-03 09:00:00,275.9431,41.75,-87.75
2020-01-03 10:00:00,275.52545,41.75,-87.75
2020-01-03 11:00:00,275.24957,41.75,-87.75
2020-01-03 12:00:00,275.34402,41.75,-87.75
2020-01-03 13:00:00,275.45856,41.75,-87.75
2020-01-03 14:00:00,275.48996,41.75,-87.75
2020-01-03 15:00:00,275.32867,41.75,-87.75
2020-01-03 16:00:00,275.1582,41.75,-87.75
2020-01-03 17:00:00,274.99133,41.75,-87.75
2020-01-03 18:00:00,275.0124,41.75,-87.75
2020-01-03 19:00:00,274.85608,41.75,-87.75
2020-01-03 20:00:00,274.96402,41.75,-87.75
2020-01-03 21:00:00,274.7683,41.75,-87.75
2020-01-03 22:00:00,275.3634,41.75,-87.75
2020-01-03 23:00:00,275.30737,41.75,-87.75
2020-01-04 00:00:00,275.2589,41.75,-87.75
2020-01-04 01:00:00,275.25598,41.75,-87.75
2020-01-04 02:00:00,275.08936,41.75,-87.75
2020-01-04 03:00:00,274.68503,41.75,-87.75
2020-01-04 04:00:00,274.7295,41.75,-87.75
2020-01-04 05:00:00,274.68246,41.75,-87.75
2020-01-04 06:00:00,274.65494,41.75,-87.75
2020-01-04 07:00:00,274.50507,41.75,-87.75
2020-01-04 08:00:00,274.30173,41.75,-87.75
2020-01-04 09:00:00,274.04114,41.75,-87.75
2020-01-04 10:00:00,273.3322,41.75,-87.75
2020-01-04 11:00:00,273.2229,41.75,-87.75
2020-01-04 12:00:00,273.1289,41.75,-87.75
2020-01-04 13:00:00,273.14386,41.75,-87.75
2020-01-04 14:00:00,273.0921,41.75,-87.75
2020-01-04 15:00:00,273.3847,41.75,-87.75
2020-01-04 16:00:00,273.87073,41.75,-87.75
2020-01-04 17:00:00,273.98303,41.75,-87.75
2020-01-04 18:00:00,274.03516,41.75,-87.75
2020-01-04 19:00:00,274.14355,41.75,-87.75
2020-01-04 20:00:00,273.62738,41.75,-87.75
2020-01-04 21:00:00,273.28967,41.75,-87.75
2020-01-04 22:00:00,272.64825,41.75,-87.75
2020-01-04 23:00:00,272.16312,41.75,-87.75
2020-01-05 00:00:00,272.00543,41.75,-87.75
2020-01-05 01:00:00,271.95947,41.75,-87.75
2020-01-05 02:00:00,272.03085,41.75,-87.75
2020-01-05 03:00:00,271.83017,41.75,-87.75
2020-01-05 04:00:00,271.70294,41.75,-87.75
2020-01-05 05:00:00,271.30377,41.75,-87.75
2020-01-05 06:00:00,270.89734,41.75,-87.75
2020-01-05 07:00:00,270.29303,41.75,-87.75
2020-01-05 08:00:00,269.8836,41.75,-87.75
2020-01-05 09:00:00,269.54965,41.75,-87.75
2020-01-05 10:00:00,269.75244,41.75,-87.75
2020-01-05 11:00:00,269.82977,41.75,-87.75
2020-01-05 12:00:00,270.05475,41.75,-87.75
2020-01-05 13:00:00,270.2556,41.75,-87.75
2020-01-05 14:00:00,270.83386,41.75,-87.75
2020-01-05 15:00:00,272.28516,41.75,-87.75
2020-01-05 16:00:00,273.4461,41.75,-87.75
2020-01-05 17:00:00,274.58875,41.75,-87.75
2020-01-05 18:00:00,275.9845,41.75,-87.75
2020-01-05 19:00:00,277.13547,41.75,-87.75
2020-01-05 20:00:00,277.64993,41.75,-87.75
2020-01-05 21:00:00,278.42212,41.75,-87.75
2020-01-05 22:00:00,278.6689,41.75,-87.75
2020-01-05 23:00:00,278.2619,41.75,-87.75
2020-01-06 00:00:00,277.63495,41.75,-87.75
2020-01-06 01:00:00,276.9895,41.75,-87.75
2020-01-06 02:00:00,276.1183,41.75,-87.75
2020-01-06 03:00:00,275.11243,41.75,-87.75
2020-01-06 04:00:00,274.98315,41.75,-87.75
2020-01-06 05:00:00,274.6919,41.75,-87.75
2020-01-06 06:00:00,274.09253,41.75,-87.75
2020-01-06 07:00:00,273.60065,41.75,-87.75
2020-01-06 08:00:00,273.09253,41.75,-87.75
2020-01-06 09:00:00,272.25134,41.75,-87.75
2020-01-06 10:00:00,271.2404,41.75,-87.75
2020-01-06 11:00:00,271.1037,41.75,-87.75
2020-01-06 12:00:00,271.1197,41.75,-87.75
2020-01-06 13:00:00,270.86737,41.75,-87.75
2020-01-06 14:00:00,270.86304,41.75,-87.75
2020-01-06 15:00:00,272.49353,41.75,-87.75
2020-01-06 16:00:00,273.5543,41.75,-87.75
2020-01-06 17:00:00,274.98816,41.75,-87.75
2020-01-06 18:00:00,276.37204,41.75,-87.75
2020-01-06 19:00:00,277.08694,41.75,-87.75
2020-01-06 20:00:00,277.6826,41.75,-87.75
2020-01-06 21:00:00,277.68756,41.75,-87.75
2020-01-06 22:00:00,276.5216,41.75,-87.75
2020-01-06 23:00:00,276.12222,41.75,-87.75
2020-01-07 00:00:00,275.67365,41.75,-87.75
2020-01-07 01:00:00,275.07217,41.75,-87.75
2020-01-07 02:00:00,274.76465,41.75,-87.75
2020-01-07 03:00:00,274.14243,41.75,-87.75
2020-01-07 04:00:00,273.75464,41.75,-87.75
2020-01-07 05:00:00,273.27234,41.75,-87.75
2020-01-07 06:00:00,272.9865,41.75,-87.75
2020-01-07 07:00:00,272.6498,41.75,-87.75
2020-01-07 08:00:00,272.36792,41.75,-87.75
2020-01-07 09:00:00,271.9023,41.75,-87.75
2020-01-07 10:00:00,271.21237,41.75,-87.75
2020-01-07 11:00:00,271.34692,41.75,-87.75
2020-01-07 12:00:00,271.63016,41.75,-87.75
2020-01-07 13:00:00,271.66602,41.75,-87.75
2020-01-07 14:00:00,272.1416,41.75,-87.75
