year,month,day,rmm1,rmm2,phase,amplitude,source,date
2020,1,1,-0.43488729,0.10185266,8,0.44665524,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-01
2020,1,2,-0.3488636,0.0711828321,8,0.35605168,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-02
2020,1,3,-0.20854364,-0.0968054831,1,0.22991683,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-03
2020,1,4,0.17592983,-0.39364409,3,0.4311693,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-04
2020,1,5,0.6519109,-0.66428894,3,0.93073499,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-05
2020,1,6,1.4926015,-0.64652735,4,1.626609,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-06
2020,1,7,2.2428949,-0.6696586,4,2.3407307,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-07
2020,1,8,2.6523485,-0.55546004,4,2.7098873,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-08
2020,1,9,3.0931249,-0.42877507,4,3.1227024,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-09
2020,1,10,3.3624463,-0.18215919,4,3.367377,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-10
2020,1,11,3.5577629,0.60742354,5,3.6092436,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-11
2020,1,12,3.4317532,1.2857286,5,3.6647003,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-12
2020,1,13,3.0997558,1.9161406,5,3.6441846,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-13
2020,1,14,2.5025556,2.282433,5,3.3870761,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-14
2020,1,15,2.0120792,2.4837456,6,3.1964755,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-15
2020,1,16,1.9312092,2.7087276,6,3.3266761,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-16
2020,1,17,1.5173742,2.9663482,6,3.3319132,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-17
2020,1,18,0.87691742,2.9358387,6,3.0640061,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-18
2020,1,19,0.14623371,2.7539566,6,2.7578363,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-19
2020,1,20,-0.35535219,2.2682514,7,2.295918,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-20
2020,1,21,-0.75346988,2.0437512,7,2.1782184,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-21
2020,1,22,-0.97261178,2.0272198,7,2.2484648,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-22
2020,1,23,-0.8306343,1.7830598,7,1.9670424,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-23
2020,1,24,-0.47842368,1.2794083,7,1.3659337,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-24
2020,1,25,-0.34576282,0.77875584,7,0.85206372,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-25
2020,1,26,0.14680329,0.54624504,6,0.56562781,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-26
2020,1,27,0.29881379,0.59915918,6,0.6695382,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-27
2020,1,28,0.55734718,0.72521532,6,0.9146437,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-28
2020,1,29,0.71212828,1.0098958,6,1.2357249,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-29
2020,1,30,0.77026534,1.0091758,6,1.269545,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-30
2020,1,31,0.60763359,0.70925695,6,0.93395078,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-01-31
2020,2,1,0.32359233,0.70430702,6,0.77508736,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-01
2020,2,2,0.38602972,0.56929958,6,0.6878379,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-02
2020,2,3,0.5691995,0.43799838,5,0.7182135,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-03
2020,2,4,0.62350518,0.15147083,5,0.64164019,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-04
2020,2,5,0.98200089,-0.054749798,4,0.98352593,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-05
2020,2,6,1.2640014,0.0333437473,5,1.264441,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-06
2020,2,7,1.5382361,0.00576985348,5,1.538247,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-07
2020,2,8,1.553382,0.23610532,5,1.571223,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-08
2020,2,9,1.6505853,0.61796498,5,1.7624735,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-09
2020,2,10,1.3625598,0.86202985,5,1.6123476,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-10
